,us,ca,jp,gb,fr,pl,au,date
0,0,0,0,0,0,0,0,2021-01-01
1,0,0,0,0,0,0,0,2021-01-02
2,0,0,0,0,0,0,0,2021-01-03
3,0,0,0,0,0,0,0,2021-01-04
4,0,0,0,0,0,0,0,2021-01-05
5,0,0,0,0,0,0,0,2021-01-06
6,0,0,0,0,0,0,0,2021-01-07
7,1017407,87490,0,73987,0,0,33369,2021-01-08
8,2730279,270184,0,325515,0,21302,150994,2021-01-09
9,3857054,425557,0,658458,53866,46487,318001,2021-01-10
10,5688246,620869,0,1025365,81199,86600,518034,2021-01-11
11,6145601,695493,29111,1186865,106567,113792,652810,2021-01-12
12,5723851,682065,30504,1187736,132455,133009,665937,2021-01-13
13,5271136,640345,32819,1185047,157473,154545,680159,2021-01-14
14,4971803,617272,32837,1210545,183398,154796,685669,2021-01-15
15,4100318,530251,35917,1042987,190837,148104,601398,2021-01-16
16,3461560,479796,36100,959046,195025,143851,590316,2021-01-17
17,3503575,505441,34221,1022621,195256,161295,590471,2021-01-18
18,3501976,486248,35214,962228,192282,155564,563745,2021-01-19
19,3258808,465254,35571,917215,199772,154532,548423,2021-01-20
20,3062305,433560,36299,866874,183716,145407,524121,2021-01-21
21,3196541,438037,35447,877163,182046,142014,503087,2021-01-22
22,2885660,405995,36286,771852,186035,133475,415193,2021-01-23
23,2447127,357018,35911,655601,168865,128314,417765,2021-01-24
24,2586851,378765,35432,744925,170402,143466,431258,2021-01-25
25,2451705,359790,36540,714142,166877,136951,419623,2021-01-26
26,2366553,346875,35312,697895,170626,131019,430866,2021-01-27
27,2269020,332524,36259,672503,181582,126073,421242,2021-01-28
28,2310212,332786,34361,674180,200661,123508,397763,2021-01-29
29,2118861,309603,36504,600193,203886,116874,386861,2021-01-30
30,1857394,283378,36186,551738,182951,101719,394372,2021-01-31
31,1931803,291103,32239,596670,179920,110780,381186,2021-02-01
32,1908413,282252,33614,566044,177087,110768,381626,2021-02-02
33,1903004,279693,34222,559287,180567,109215,378415,2021-02-03
34,1850809,275504,34452,547357,163451,109476,378139,2021-02-04
35,1893657,273565,34039,555810,167026,109109,369818,2021-02-05
36,1806203,263662,36519,512994,174181,103887,363693,2021-02-06
37,1600501,244164,36393,457361,153462,93245,370236,2021-02-07
38,1587287,236055,32866,481135,141546,99589,359156,2021-02-08
39,1645296,245619,34456,476625,137947,104490,358588,2021-02-09
40,1629025,243449,31918,476531,137292,106385,351567,2021-02-10
41,1592399,241055,35198,474502,130592,100835,346871,2021-02-11
42,1628408,245491,33484,485400,132530,100133,329683,2021-02-12
43,1506354,233953,34999,451113,136848,96719,332030,2021-02-13
44,1369291,218005,34532,413582,121535,85756,341229,2021-02-14
45,1320357,206208,31941,436155,118762,92587,329230,2021-02-15
46,1299468,206384,30765,427117,116730,90168,316419,2021-02-16
47,1319078,210349,30878,419302,120058,89621,313266,2021-02-17
48,1283051,209918,31188,411023,115471,91777,307400,2021-02-18
49,1326058,212243,30824,414907,118359,90253,298358,2021-02-19
50,1298821,203320,33767,394687,121650,88662,290202,2021-02-20
51,1270844,195820,34643,367805,109053,77649,293441,2021-02-21
52,1390340,200382,31262,391663,108162,84300,280628,2021-02-22
53,1399302,202281,33737,386894,108128,84692,279199,2021-02-23
54,1374644,201753,31445,385385,108530,83254,279437,2021-02-24
55,1327286,198509,31327,382475,103187,86389,278487,2021-02-25
56,1340052,199019,29707,390169,109335,84946,271385,2021-02-26
57,1274964,193691,30841,367705,111742,81416,261908,2021-02-27
58,1149587,178944,31433,334439,102793,70505,263075,2021-02-28
59,1186806,181175,29861,355313,100149,77942,250641,2021-03-01
60,1169394,177459,30129,351244,99508,77561,248560,2021-03-02
61,1168186,178767,30586,343081,109412,77268,248043,2021-03-03
62,1175080,180642,31695,351698,108059,77867,253949,2021-03-04
63,1208662,182060,29665,362994,111910,79246,249603,2021-03-05
64,1159293,176680,31655,347002,120575,75385,239660,2021-03-06
65,1046314,163115,29926,315305,107982,67331,229845,2021-03-07
66,1079006,167356,29450,331989,100150,72557,233201,2021-03-08
67,1077687,166346,30872,325690,102327,71067,228250,2021-03-09
68,1067108,164629,30486,313615,104677,72069,228308,2021-03-10
69,1047329,163460,30521,315618,99025,73763,228360,2021-03-11
70,1072758,165021,30215,322227,100813,74987,223468,2021-03-12
71,1030292,161936,30053,328867,106623,73207,214100,2021-03-13
72,928279,147883,31140,292185,95424,63382,216734,2021-03-14
73,943888,148927,29542,293675,89288,68195,209852,2021-03-15
74,953163,146996,29928,290294,91382,66542,210367,2021-03-16
75,955413,149188,29785,288244,96834,66386,209721,2021-03-17
76,941349,145890,29442,285306,89661,66207,208811,2021-03-18
77,956849,151147,30146,300722,93747,68977,203019,2021-03-19
78,925649,148077,29123,306828,98715,68213,192864,2021-03-20
79,848875,137258,28037,280684,89699,59333,192669,2021-03-21
80,873651,137497,29796,278093,84420,64932,190843,2021-03-22
81,874607,137292,29172,274582,86122,65090,192367,2021-03-23
